Enable	Id	Name	Type	Rarity	Gender	LevelRequest	Price	Currency	IsAvailableInShop	IsFreeFirstTime	ShowInManual
TRUE	cos_eye_001	Eye 1	Eye	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eye_002	Eye 2	Eye	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eye_003	Eye 3	Eye	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eye_004	Eye 4	Eye	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eye_005	Eye 5	Eye	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eye_006	Eye 6	Eye	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eye_007	Eye 7	Eye	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eye_008	Eye 8	Eye	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eye_009	Eye 9	Eye	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eye_010	Eye 10	Eye	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eye_011	Eye 11	Eye	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eye_012	Eye 12	Eye	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eye_013	Eye 13	Eye	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eye_014	Eye 14	Eye	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eye_015	Eye 15	Eye	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eye_016	Eye 16	Eye	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eye_017	Eye 17	Eye	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eye_018	Eye 18	Eye	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eye_019	Eye 19	Eye	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eye_020	Eye 20	Eye	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eye_021	Eye 21	Eye	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eye_022	Eye 22	Eye	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eye_023	Eye 23	Eye	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eye_024	Eye 24	Eye	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eye_025	Eye 25	Eye	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eye_026	Eye 26	Eye	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eyebrow_001	Eyebrow 1	Eyebrow	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eyebrow_002	Eyebrow 2	Eyebrow	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eyebrow_003	Eyebrow 3	Eyebrow	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eyebrow_004	Eyebrow 4	Eyebrow	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eyebrow_005	Eyebrow 5	Eyebrow	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eyebrow_006	Eyebrow 6	Eyebrow	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eyebrow_007	Eyebrow 7	Eyebrow	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eyebrow_008	Eyebrow 8	Eyebrow	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eyebrow_009	Eyebrow 9	Eyebrow	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eyebrow_010	Eyebrow 10	Eyebrow	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eyebrow_011	Eyebrow 11	Eyebrow	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eyebrow_012	Eyebrow 12	Eyebrow	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eyebrow_013	Eyebrow 13	Eyebrow	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eyebrow_014	Eyebrow 14	Eyebrow	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eyebrow_015	Eyebrow 15	Eyebrow	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eyebrow_016	Eyebrow 16	Eyebrow	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eyebrow_017	Eyebrow 17	Eyebrow	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eyebrow_018	Eyebrow 18	Eyebrow	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eyebrow_019	Eyebrow 19	Eyebrow	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_eyebrow_020	Eyebrow 20	Eyebrow	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_mouth_001	Mouth 1	Mouth	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_mouth_002	Mouth 2	Mouth	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_mouth_003	Mouth 3	Mouth	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_mouth_004	Mouth 4	Mouth	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_mouth_005	Mouth 5	Mouth	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_mouth_006	Mouth 6	Mouth	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_mouth_007	Mouth 7	Mouth	Common		0	100	Coin	FALSE	TRUE	FALSE
