Enable	Id	Name	Type	IconPath	Duration	RequestType	ActKey	Request	LevelRequest	RewardExp	RewardCoin
TRUE	m_stat_001	Play Mini Game	Daily	mission/m_stat_001	86400	ActivityStat	play_minigame	[2,3]	0	100	300
TRUE	m_stat_002	Keep Mini Event	Daily	mission/m_stat_002	86400	ActivityStat	keep_minievent	[3,5]	0	100	300
TRUE	m_stat_010	Keep Mini Event	Weekly	mission/m_stat_003	604800	ActivityStat	keep_minievent	[10,5]	0	1000	3000
TRUE	m_stat_003	Keep Tree	Daily	mission/m_stat_003	86400	ActivityStat	keep_tree	[100,150]	0	100	300
TRUE	m_stat_008	Keep Tree	Weekly	mission/m_stat_004	604800	ActivityStat	keep_tree	[1000,2000]	0	1000	3000
TRUE	m_stat_004	Tree Water	Daily	mission/m_stat_004	86400	ActivityStat	keep_watertree	[1000,2000]	0	1000	3000
TRUE	m_stat_005	Collect Coin	Daily	mission/m_stat_005	86400	ActivityStat	keep_coin	[1000,2000]	0	1000	3000
TRUE	m_stat_006	Keep Carbon	Daily	mission/m_stat_006	86400	ActivityStat	keep_carbon	[1000,2000]	0	1000	3000
TRUE	m_stat_007	Keep Carbon	Weekly	mission/m_stat_006	604800	ActivityStat	keep_carbon	[1000,2000]	0	1000	3000
TRUE	m_stat_009	Use Coin	Weekly	mission/m_stat_009	604800	ActivityStat	use_coin	[100,200]	0	1000	3000
TRUE	m_ex_001	Exchange Tree	Daily	tree/tree_001	86400	ExchangeItem	item_tree_001	[1,3]	0	1000	3000
TRUE	m_ex_002	Exchange Tree	Daily	tree/tree_002	86400	ExchangeItem	item_tree_002	[1,3]	22	1000	3000
TRUE	m_ex_003	Exchange Tree	Daily	tree/tree_003	86400	ExchangeItem	item_tree_003	[1,3]	2	1000	3000
TRUE	m_ex_004	Exchange Tree	Daily	tree/tree_004	86400	ExchangeItem	item_tree_004	[1,3]	5	1000	3000
TRUE	m_ex_005	Exchange Tree	Daily	tree/tree_005	86400	ExchangeItem	item_tree_005	[1,3]	2	1000	3000
TRUE	m_ex_006	Exchange Tree	Daily	tree/tree_006	86400	ExchangeItem	item_tree_006	[1,3]	0	1000	3000
TRUE	m_ex_007	Exchange Tree	Daily	tree/tree_007	86400	ExchangeItem	item_tree_007	[1,3]	10	1000	3000
TRUE	m_ex_008	Exchange Tree	Daily	tree/tree_008	86400	ExchangeItem	item_tree_008	[1,3]	5	1000	3000
TRUE	m_ex_009	Exchange Tree	Weekly	tree/tree_001	604800	ExchangeItem	item_tree_001	[10,20]	0	1000	3000
TRUE	m_ex_010	Exchange Tree	Weekly	tree/tree_002	604800	ExchangeItem	item_tree_002	[10,20]	22	1000	3000
TRUE	m_ex_011	Exchange Tree	Weekly	tree/tree_003	604800	ExchangeItem	item_tree_003	[10,20]	2	1000	3000
TRUE	m_ex_012	Exchange Tree	Weekly	tree/tree_004	604800	ExchangeItem	item_tree_004	[10,20]	5	1000	3000
